,Pris,address,zipcode,m2,rooms
3730, 2.795.000, Bregnerødvej 61,3460 Birkerød,88,4
3731, 2.799.000, Klostertorvet 11,8000 Aarhus C,60,2
3732, 2.845.000, Hvidovrevej 350C,2650 Hvidovre,76,3
3733, 2.895.000, Thyrasgade 4,2200 København N,60,2
3734, 2.950.000, Sofielundsvej 18,2600 Glostrup,84,2
3735, 3.145.000, Rådhusgade 2,8600 Silkeborg,99,3
3736, 3.245.000, Flensborggade 25,1669 København V,53,2
3737, 3.495.000, Korsørgade 30,2100 København Ø,66,3
3738, 3.595.000, Ålandsgade 43,2300 København S,76,2
3739, 3.698.000, Vesterbrogade 17,8000 Aarhus C,86,3
3740, 3.995.000, Guldborgvej 21,2000 Frederiksberg,65,3
3741, 4.000.000, Burmeistersgade 5,1429 København K,52,2
3742, 4.100.000, Brønshøjvej 15B,2700 Brønshøj,98,3
3743, 4.250.000, Orla Lehmanns Allé 12,8000 Aarhus C,99,4
3744, 4.395.000, Wilkensvej 15 st tv ,2000 Frederiksberg,86,3
3745, 4.500.000, Hørsholm Park 10,2970 Hørsholm,113,4
3746, 4.595.000, Ørestads Boulevard 59A,2300 København S,101,3
3747, 4.745.000, Vagtelvej 15,2000 Frederiksberg,103,4
3748, 4.915.000, Grøndahlsvej 21,7400 Herning,154,4
3749, 5.195.000, Frederiksstadsgade 7,1667 København V,81,3
3750, 5.495.000, Kroghsgade 4,2100 København Ø,73,3
3751, 6.198.000, Helga Pedersens Gade 950,8000 Aarhus C,105,2
3752, 6.495.000, Gråbrødrestræde 23 2 tv ,1156 København K,84,3
3753, 7.600.000, Wildersgade 34 1 th ,1408 København K,93,2
3754, 8.350.000, Grønnegade 41C,1107 København K,103,2
3755, 9.150.000, Helga Pedersens Gade 950,8000 Aarhus C,149,4
3756, 11.995.000, Bohrsgade 2,1799 København V,185,5
3757, 795.000, Hasselvej 1,8930 Randers NØ,65,2
3758, 949.000, Danmarksgade 8,8900 Randers C,76,3
3759, 995.000, Sønderbro 23,9000 Aalborg,44,1
3760, 995.000, Hasselvej 1,8930 Randers NØ,85,3
3761, 1.050.000, Stjernevej 9,7100 Vejle,69,3
3762, 1.298.000, Teglværks Alle 5,9000 Aalborg,57,2
3763, 1.450.000, Gartnervang 34,4000 Roskilde,42,1
3764, 1.595.000, Torvestræde 15,4700 Næstved,72,2
3765, 1.595.000, Julius Posselts Vej 3B,9400 Nørresundby,60,2
3766, 1.650.000, Strandvejen 10A,5800 Nyborg,163,4
3767, 1.650.000, Forchhammersvej 9B,9000 Aalborg,46,2
3768, 1.695.000, Rosenkildevej 66B,3000 Helsingør,70,2
3769, 1.695.000, Buchwalds Bro 4,8700 Horsens,71,2
3770, 1.695.000, Buchwalds Bro 4,8700 Horsens,75,2
3771, 1.875.000, Krøyer Kielbergs Vej 7A,8660 Skanderborg,66,3
3772, 1.945.000, Langelandsgade 110,8000 Aarhus C,49,2
3773, 2.095.000, Ericavej 147,2820 Gentofte,61,2
3774, 2.150.000, Skovvejen 81,8000 Aarhus C,46,2
3775, 2.195.000, Vesterbro 95,9000 Aalborg,112,4
3776, 2.245.000, Østre Havnegade 36E,9000 Aalborg,65,2
3777, 2.275.000, Christian Xs Alle 60,2800 Kongens Lyngby,55,2
3778, 2.275.000, Lindebo 21,2630 Taastrup,79,3
3779, 2.295.000, Kvintus Allé 15,2300 København S,58,2
3780, 2.349.000, Nybrovej 149,2800 Kongens Lyngby,71,3
3781, 2.595.000, Æbeløgade 24,2100 København Ø,58,2
3782, 2.720.000, John Tranums Alle 23,2770 Kastrup,69,3
3783, 2.795.000, Ane Katrines Vej 18,2000 Frederiksberg,51,2
3784, 2.795.000, Øresundsvej 110,2300 København S,58,2
3785, 2.795.000, Frankrigshusene 10,2300 København S,56,2
3786, 2.849.000, Søndre Ringgade 13,8000 Aarhus C,63,2
3787, 2.875.000, Lundingsgade 12,8000 Aarhus C,70,3
3788, 3.125.000, Finsensvej 47B,2000 Frederiksberg,60,2
3789, 3.195.000, Buchwalds Bro 4,8700 Horsens,132,4
3790, 3.245.000, Rebekkavej 4,2900 Hellerup,67,2
3791, 3.295.000, Guldborgvej 36 2 8 ,2000 Frederiksberg,59,2
3792, 3.295.000, Buchwalds Bro 4,8700 Horsens,132,4
3793, 3.495.000, Engelsborgvej 8,2800 Kongens Lyngby,72,2
3794, 3.495.000, Strandgade 87A,3000 Helsingør,110,3
3795, 3.595.000, Buchwalds Bro 4,8700 Horsens,132,4
3796, 3.650.000, Skjulhøj Allé 3,2720 Vanløse,107,3
3797, 3.750.000, Bernhard Bangs Alle 15A,2000 Frederiksberg,88,3
3798, 3.750.000, Rådhusstræde 4A,4600 Køge,120,4
3799, 3.895.000, Jagtvej 215B,2100 København Ø,86,3
3800, 3.995.000, Akacieparken 10A,2680 Solrød Strand,115,3
3801, 3.995.000, Lygten 59,2400 København NV,97,3
3802, 4.195.000, Læssøegade 18,5000 Odense C,141,5
3803, 4.195.000, Buchwalds Bro 4,8700 Horsens,147,4
3804, 4.200.000, Grønnegade 31,1107 København K,53,2
3805, 4.495.000, Korsørgade 31,2100 København Ø,68,2
3806, 4.900.000, Irma Pedersens Gade 87,8000 Aarhus C,85,3
3807, 5.995.000, Vejlesøparken 7,2840 Holte,126,5
3808, 6.495.000, Islands Brygge 36B,2300 København S,102,3
3809, 11.500.000, Rosbæksvej 3,2100 København Ø,162,5
3810, 695.000, Parkvej 180,4700 Næstved,48,2
3811, 2.395.000, Bygaden 18A,3550 Slangerup,83,2
3812, 3.195.000, Klosterport 9B,8000 Aarhus C,72,2
3813, 3.400.000, Grønnegade 29 1 ,1107 København K,50,1
3814, 3.995.000, Nordstensvej 2,3400 Hillerød,123,3
3815, 6.195.000, Vordingborggade 37,2100 København Ø,102,4
3816, 6.445.000, Danasvej 4,1910 Frederiksberg C,89,4
3817, 9.995.000, Kristian Zahrtmanns Plads 81,2000 Frederiksberg,160,5
3818, 24.900.000, Gammel Vartov Vej 16C ,2900 Hellerup,226,6
3819, 1.195.000, Funder Tværvej 27 ,8600 Silkeborg,64,2
3820, 1.695.000, Budolfi Plads 9 5 tv ,9000 Aalborg,62,2
3821, 1.795.000, Hedekæret 45,2640 Hedehusene,76,3
3822, 1.995.000, Borups Allé 225 st tv ,2400 København NV,49,2
3823, 2.295.000, Skjeberg Alle 35,2630 Taastrup,76,2
3824, 2.699.000, Jægergårdsgade 116,8000 Aarhus C,67,2
3825, 12.000.000, Mariendalsvej 28 st tv ,2000 Frederiksberg,274,3
3826, 895.000, Gimlesvej 2D,8960 Randers SØ,77,3
3827, 1.048.000, Peder Skrams Gade 2,6700 Esbjerg,66,2
3828, 1.195.000, Vester Altanvej 1,8900 Randers C,113,3
3829, 1.245.000, Christmas Møllers Vej 7,5200 Odense V,60,2
3830, 1.249.000, Pilegårdsvej 50,2860 Søborg,40,1
3831, 1.395.000, Islandsgade 7,9000 Aalborg,61,2
3832, 1.595.000, Sabroesvej 17B,3000 Helsingør,55,2
3833, 1.795.000, Blåbærhaven 5,2980 Kokkedal,88,4
3834, 1.895.000, Teglkåsvej 2,2770 Kastrup,54,2
3835, 1.895.000, Hvidovrevej 52A,2610 Rødovre,52,2
3836, 1.898.000, Christian Xs Vej 42,8260 Viby J,76,3
3837, 2.095.000, Vestre Ringgade 198 4 th ,8000 Aarhus C,58,2
3838, 2.125.000, Sabroesvej 5C,3000 Helsingør,84,3
3839, 2.195.000, Händelsvej 2,2450 København SV,43,2
3840, 2.495.000, Saven D 1,2630 Taastrup,116,4
3841, 2.495.000, Sjællandsgade 5,8000 Aarhus C,60,3
3842, 2.495.000, Knud Den Stores Vej 38,4000 Roskilde,76,2
3843, 2.575.000, Frederiksgade 24,8000 Aarhus C,57,2
3844, 2.598.000, St.St. Blichers Gade 28,8000 Aarhus C,53,2
3845, 2.750.000, Havnegade 20D ,3600 Frederikssund,162,5
3846, 2.850.000, Kofoed Jensens Alle 11,2770 Kastrup,69,3
3847, 3.295.000, Aldersrogade 9,2100 København Ø,52,2
3848, 3.349.000, Holtegade 4,2200 København N,70,2
3849, 3.350.000, Århusgade 16,2100 København Ø,53,2
3850, 3.795.000, Ejgårdsvej 24,2920 Charlottenlund,87,3
3851, 4.995.000, Strandvejen 71B,2100 København Ø,89,3
3852, 5.495.000, Gunløgsgade 22,2300 København S,128,4
3853, 8.990.000, Hiort Lorenzens Gade 2,2200 København N,163,6
3854, 12.000.000, Stoltenbergsgade 3,1576 København V,190,6
3855, 19.500.000, Femte Juni Plads 12,2000 Frederiksberg,219,10
3856, 525.000, Vestergade 171A,6792 Rømø,71,4
3857, 598.000, Snerlevej 3 1 tv ,8930 Randers NØ,62,3
3858, 1.245.000, P Nørkjærs Plads 5,9800 Hjørring,121,2
3859, 2.399.000, Hamletsgade 24,2200 København N,45,2
3860, 2.495.000, Vejledalen 58,2635 Ishøj,97,3
3861, 2.498.000, Åhusene 4,8000 Aarhus C,55,2
3862, 3.200.000, Kastrupvej 67,2300 København S,88,3
3863, 3.295.000, Københavnsvej 74C ,4000 Roskilde,81,3
3864, 3.750.000, Horsensgade 8,2100 København Ø,64,2
3865, 3.799.000, Skolegade 23,8000 Aarhus C,102,3
3866, 3.898.000, Helga Pedersens Gade 950T,8000 Aarhus C,66,2
3867, 4.095.000, Rådhusgade 2,8600 Silkeborg,130,4
3868, 4.099.000, Marselisborg Allé 11,8000 Aarhus C,81,3
3869, 4.295.000, Nyelandsvej 73,2000 Frederiksberg,77,3
3870, 4.295.000, Lersø Parkallé 59,2100 København Ø,72,3
3871, 4.775.000, Ordrupvej 12 2 tv ,2920 Charlottenlund,110,4
3872, 4.850.000, Alliancevej 4,2450 København SV,86,3
3873, 5.295.000, Helga Pedersens Gade 950B,8000 Aarhus C,112,3
3874, 5.795.000, Lyneborggade 27,2300 København S,91,3
3875, 13.500.000, Nørre Voldgade 10,1358 København K,181,6
3876, 835.000, Ægirsvej 63,8920 Randers NV,90,4
3877, 845.000, Naffet 33D,6100 Haderslev,72,3
3878, 895.000, Nordlandsvej 50,7100 Vejle,74,2
3879, 1.075.000, Klosterstræde 36,4800 Nykøbing F,89,3
3880, 1.150.000, Sabroesvej 9D,3000 Helsingør,33,1
3881, 1.195.000, Eremitageparken 309,2800 Kongens Lyngby,33,1
3882, 1.249.000, Torvegade 14,7000 Fredericia,97,3
3883, 1.250.000, Skovvejen 46H,8000 Aarhus C,24,1
3884, 1.395.000, Holmehusvej 65,5000 Odense C,58,2
3885, 1.495.000, Vesterbro 49 1 tv ,9000 Aalborg,71,2
3886, 1.499.000, Sankt Jørgens Gade 8 4 th ,9000 Aalborg,63,2
3887, 1.575.000, Grækenlandsvej 63,2300 København S,37,1
3888, 1.795.000, Hedekæret 38,2640 Hedehusene,78,3
3889, 1.898.000, Kløvermarksvej 31 ,8200 Aarhus N,49,2
3890, 1.995.000, Fuglegårdsvænget 88,2820 Gentofte,52,2
3891, 2.195.000, Lille Kirkestræde 1,8900 Randers C,157,4
3892, 2.195.000, Langelandsgade 110,8000 Aarhus C,51,2
3893, 2.295.000, Frederiksgade 48A,8000 Aarhus C,46,2
3894, 2.395.000, Otte Ruds Gade 36,8200 Aarhus N,61,2
3895, 2.495.000, Søndre Fasanvej 94E,2500 Valby,55,2
3896, 2.498.000, Bülowsgade 53,8000 Aarhus C,60,2
3897, 2.575.000, Peter Bangs Vej 268 2 th ,2500 Valby,55,2
3898, 2.598.000, Teglvænget 1,9000 Aalborg,127,4
3899, 2.625.000, Spaniensgade 23,2300 København S,46,3
3900, 2.650.000, Aldershvilevej 103D,2880 Bagsværd,75,3
3901, 2.695.000, Ordrupvej 67 2 tv ,2920 Charlottenlund,63,2
3902, 2.695.000, Vølundsgade 12,2200 København N,58,2
3903, 2.895.000, Frederikssundsvej 206,2700 Brønshøj,83,3
3904, 2.950.000, Kridtsløjfen 21,9000 Aalborg,103,3
3905, 2.995.000, Rudersdalsvej 110,2840 Holte,72,3
3906, 3.345.000, Niels Juelsgade 3,4600 Køge,93,5
3907, 3.399.000, Thorvaldsensgade 31,8000 Aarhus C,80,3
3908, 3.400.000, Amagerbrogade 242,2300 København S,83,3
3909, 3.495.000, Peter Bangs Vej 228,2500 Valby,74,3
3910, 3.495.000, Rørmosevænget 35,3450 Allerød,108,4
3911, 3.595.000, Teglgårdstræde 16A,1452 København K,59,2
3912, 3.850.000, Hørsholm Park 14,2970 Hørsholm,113,4
3913, 4.095.000, Peter Bangs Vej 116,2000 Frederiksberg,93,3
3914, 4.195.000, Bogholder Allé 33B,2720 Vanløse,91,3
3915, 4.500.000, Sankt Peders Stræde 9,4000 Roskilde,100,4
3916, 4.695.000, Sundkaj 85,2150 Nordhavn,70,3
3917, 4.695.000, Trelleborggade 6,2150 Nordhavn,77,2
3918, 4.695.000, Carl Torps Vej 4,2500 Valby,77,3
3919, 4.995.000, Bernhard Bangs Alle 1,2000 Frederiksberg,88,4
3920, 5.250.000, Sofievej 4B,2900 Hellerup,75,3
3921, 5.300.000, Vordingborggade 2B,2100 København Ø,89,4
3922, 5.995.000, Ringstedgade 76C ,4000 Roskilde,136,3
3923, 5.995.000, Vesterbrogade 38A,1620 København V,93,3
3924, 6.295.000, Landskronagade 56A,2100 København Ø,87,3
3925, 6.495.000, Phistersvej 3,2900 Hellerup,109,4
3926, 6.495.000, Kompagnistræde 8,1208 København K,109,4
3927, 6.995.000, Store Kongensgade 55,1264 København K,97,2
3928, 8.250.000, Bakkegårds Alle 11 2 th ,1804 Frederiksberg C,119,4
3929, 9.998.000, Galionsvej 3,1437 København K,119,3
3930, 10.995.000, Østbanegade 11,2100 København Ø,155,5
3931, 11.995.000, Dronningens Tværgade 12,1302 København K,154,5
3932, 12.995.000, Sandkaj 13,2150 Nordhavn,126,4
3933, 748.000, Grøfthøjparken 163 12 mf ,8260 Viby J,42,1
3934, 995.000, Suhrsvej 19,4220 Korsør,105,4
3935, 995.000, Pebermyntevej 5,8800 Viborg,113,3
3936, 998.000, Storegade 12,6800 Varde,110,4
3937, 1.099.000, Sejrøgade 4,8000 Aarhus C,35,2
3938, 1.105.000, Nansensgade 3,4200 Slagelse,73,3
3939, 1.499.000, Danmarksgade 6,9000 Aalborg,69,2
3940, 1.695.000, Drewsensvej 54A,8600 Silkeborg,56,2
3941, 1.765.000, Højagerparken 8,2750 Ballerup,59,2
3942, 1.775.000, Finsensgade 69,8200 Aarhus N,59,2
3943, 1.795.000, Juelsparken 46 2 tv ,9210 Aalborg SØ,119,3
3944, 1.895.000, Ryttergårdsvej 40,3520 Farum,76,3
3945, 1.995.000, Silkeborgvej 110,8000 Aarhus C,57,2
3946, 1.999.000, Rundhøj Allé 131,8270 Højbjerg,92,3
3947, 1.999.000, Bramslykkevej 32,2500 Valby,47,2
3948, 2.095.000, Ådalsvej 69,2720 Vanløse,53,2
3949, 2.099.000, Marselis Boulevard 38,8000 Aarhus C,65,2
3950, 2.275.000, Gunløgsgade 22,2300 København S,44,2
3951, 2.395.000, Kongevejen 11,3000 Helsingør,72,3
3952, 2.550.000, Smakkegårdsvej 175,2820 Gentofte,63,2
3953, 2.575.000, Serbiensgade 2,2300 København S,57,2
3954, 2.595.000, Halsskovgade 2,2100 København Ø,48,2
3955, 2.695.000, Vestervang 28,8000 Aarhus C,67,2
3956, 2.699.000, Østboulevarden 11G,8000 Aarhus C,59,2
3957, 2.750.000, Ourøgade 23,2100 København Ø,56,2
3958, 2.795.000, Doris Lessings Vej 29,2300 København S,52,2
3959, 2.895.000, Skodsborg Strandvej 227,2942 Skodsborg,63,2
3960, 2.998.000, Stadion Allé 15,8000 Aarhus C,60,2
3961, 3.245.000, Vølundsgade 24,2200 København N,58,2
3962, 3.395.000, Åhusene 4,8000 Aarhus C,68,3
3963, 3.495.000, Mølledammen 3M ,2980 Kokkedal,134,5
3964, 3.695.000, Andreas Bjørns Gade 22,1428 København K,48,2
3965, 4.195.000, Dalgas Boulevard 89,2000 Frederiksberg,79,3
3966, 4.295.000, Callisensvej 16,2900 Hellerup,67,3
3967, 4.495.000, Sankt Gertruds Stræde 3,1129 København K,74,3
3968, 4.695.000, Vodroffslund 4,1914 Frederiksberg C,85,2
3969, 4.795.000, Johanne Møllers Passage 13,1799 København V,82,3
3970, 5.150.000, Akacietorvet 23 ,3520 Farum,192,4
3971, 5.598.000, Amagerbrogade 64A,2300 København S,120,4
3972, 6.695.000, Sølvgade 89,1307 København K,104,3
3973, 6.719.000, Carl Blochs Gade 59,8000 Aarhus C,132,5
3974, 7.195.000, Grundtvigsvej 34,1864 Frederiksberg C,96,4
3975, 7.695.000, Vesterbrogade 163,1800 Frederiksberg C,122,4
3976, 8.995.000, Strandgade 12C,1401 København K,130,3
3977, 9.395.000, Andrei Sakharovs Vej 25,2450 København SV,125,4
3978, 11.995.000, Store Kongensgade 110C ,1264 København K,137,4
3979, 895.000, Kristrupvej 8,8960 Randers SØ,120,5
3980, 965.000, Molbechs Alle 45C 1 ,4180 Sorø,52,2
3981, 1.175.000, Egestræde 11C,4660 Store Heddinge,79,3
3982, 1.395.000, Skagavej 93A ,9990 Skagen,61,3
3983, 1.595.000, Skovvangsvej 22,8200 Aarhus N,40,1
3984, 1.775.000, Kantorvænget 10,8240 Risskov,57,2
3985, 1.848.000, Hovedgaden 47,8220 Brabrand,50,2
3986, 1.895.000, Holmehusvej 75,5000 Odense C,82,3
3987, 1.895.000, Grønnegården 541B,2670 Greve,60,2
3988, 1.995.000, Kongelundsvej 69B,2300 København S,44,2
3989, 2.095.000, Poul Buås Vej 32,9000 Aalborg,91,3
3990, 2.098.000, Grønnegade 82,8000 Aarhus C,51,2
3991, 2.195.000, Sandalsparken 56 ,3660 Stenløse,73,3
3992, 2.450.000, Sjællandsgade 119B,8000 Aarhus C,50,2
3993, 2.495.000, Gammel Køge Landevej 266F,2650 Hvidovre,91,3
3994, 2.495.000, Rugårdsvej 30,5000 Odense C,84,3
3995, 2.595.000, Kirkegårdsvej 44,2300 København S,51,2
3996, 2.598.000, Søndre Ringgade 83,8000 Aarhus C,64,2
3997, 2.650.000, Kriegersvej 19,8000 Aarhus C,59,2
3998, 2.995.000, Hjørringgade 7,2100 København Ø,52,2
3999, 3.195.000, Bremensgade 32,2300 København S,89,2
4000, 3.450.000, Sankt Hans Gade 24,4000 Roskilde,121,4
4001, 3.595.000, Egebo 16 ,2620 Albertslund,114,4
4002, 3.995.000, Hallandsgade 6C,2300 København S,79,3
4003, 4.150.000, Bernhard Bangs Alle 4,2000 Frederiksberg,90,3
4004, 4.250.000, Skovkrogen 6,2920 Charlottenlund,84,3
4005, 4.795.000, Nørregade 59,8000 Aarhus C,86,3
4006, 4.995.000, Porcelænshaven 2F,2000 Frederiksberg,68,2
4007, 5.295.000, Teglholmsgade 6A,2450 København SV,111,4
4008, 5.498.000, Esther Aggebos Gade 4,8000 Aarhus C,113,3
4009, 5.995.000, Halmtorvet 29E,1700 København V,88,3
4010, 6.795.000, Kirkevænget 6C,2500 Valby,114,5
4011, 6.995.000, Rundholtsvej 7,2300 København S,98,4
4012, 7.495.000, Absalonsgade 3,1658 København V,102,4
4013, 7.995.000, Strandvejen 18,2100 København Ø,128,4
4014, 18.900.000, Pilestræde 21,1112 København K,322,5
4015, 2.450.000, Lauggårds Alle 12,2860 Søborg,60,0
4016, 2.598.000, Trøjborgvej 24,8200 Aarhus N,49,2
4017, 3.045.000, Søllerød Park 14,2840 Holte,88,3
4018, 3.495.000, Rosenvængets Hovedvej 22,2100 København Ø,59,2
4019, 3.655.000, Nordre Strandvej 123A,3150 Hellebæk,81,2
4020, 5.495.000, Jakob Dannefærds Vej 9,1973 Frederiksberg C,87,3
4021, 6.195.000, Torvegade 56,1400 København K,95,4
4022, 6.995.000, Blidahpark 13,2900 Hellerup,111,3
4023, 11.750.000, Østerbrogade 70,2100 København Ø,174,6
4024, 745.000, Hotel Skagen Strand 44 ,9990 Skagen,74,3
4025, 1.395.000, Middelfartvej 143,5200 Odense V,66,3
4026, 1.895.000, Vadholm 7,2800 Kongens Lyngby,46,2
4027, 1.925.000, Silkeborgvej 162 1 th ,8000 Aarhus C,50,2
4028, 2.695.000, Englandsvej 34D,2300 København S,64,2
4029, 3.695.000, Borups Allé 233A,2400 København NV,96,3
4030, 3.775.000, Klerkegade 17A,1308 København K,43,2
4031, 5.495.000, Glasvej 29 1 1 ,2400 København NV,92,3
4032, 6.495.000, Dianas Have 55 ,2970 Hørsholm,156,5
4033, 385.000, Bygholmvej 36 st 7 ,7742 Vesløs,38,2
4034, 750.000, Doktorvænget 45,7500 Holstebro,54,2
4035, 750.000, Doktorvænget 47,7500 Holstebro,52,2
4036, 795.000, Nørrealle 3A,7700 Thisted,87,3
4037, 875.000, Vinkelhagevej 174,7620 Lemvig,49,3
4038, 995.000, Låsbygade 85,6000 Kolding,59,2
4039, 1.145.000, Teglgårdsvej 415,3050 Humlebæk,50,1
4040, 1.148.000, Fynsgade 21,6700 Esbjerg,61,2
4041, 1.150.000, Doktorvænget 44,7500 Holstebro,88,3
4042, 1.150.000, Doktorvænget 3,7500 Holstebro,87,3
4043, 1.395.000, Dannebrogsgade 29,9000 Aalborg,62,2
4044, 1.498.000, Brobjerg Parkvej 95,8250 Egå,54,1
4045, 1.545.000, Vesterbro 45,9000 Aalborg,67,2
4046, 1.630.000, Nærum Hovedgade 17 3 tv ,2850 Nærum,57,2
4047, 1.795.000, Vesterbro 98,5000 Odense C,68,3
4048, 1.895.000, Fyensgade 26,9000 Aalborg,79,3
4049, 1.925.000, Roskildevænget 16,4000 Roskilde,57,2
4050, 1.950.000, Nørrevang 20 ,7451 Sunds,285,5
4051, 1.995.000, Vestervang 4 1 412 ,8000 Aarhus C,40,2
4052, 1.998.000, Grøndalsvej 62,8260 Viby J,116,3
4053, 1.999.000, Maglekæret 24E ,2680 Solrød Strand,77,3
4054, 2.225.000, Roskildevænget 7,4000 Roskilde,77,3
4055, 2.245.000, Ejboparken 73,4000 Roskilde,78,3
4056, 2.298.000, Absalonsgade 34,5000 Odense C,75,2
4057, 2.395.000, Rosengade 1A,6600 Vejen,184,8
4058, 2.395.000, Lauravej 3,2500 Valby,58,2
4059, 2.535.000, Brannersvej 21,2920 Charlottenlund,44,2
4060, 2.695.000, Skt. Jørgens Gade 10A,5000 Odense C,103,3
4061, 2.795.000, Sundvej 3,8700 Horsens,175,6
4062, 2.995.000, Odeons Kvarter 21,5000 Odense C,81,2
4063, 2.995.000, Søllerød Park 12,2840 Holte,88,3
4064, 3.075.000, Stigsborg Brygge 143 2 tv ,9400 Nørresundby,109,3
4065, 3.195.000, Delta Park 32,2665 Vallensbæk Strand,95,3
4066, 3.295.000, Skt. Jørgens Gade 10A,5000 Odense C,120,4
4067, 3.495.000, Tordenskjoldsgade 40,8200 Aarhus N,78,3
4068, 3.695.000, Mejlgade 89 2 th ,8000 Aarhus C,71,3
4069, 3.700.000, Adelgade 1,1304 København K,61,2
4070, 3.895.000, C.F. Møllers Allé 38,2300 København S,88,3
4071, 3.995.000, Nørre Allé 37,8000 Aarhus C,102,5
4072, 3.995.000, Bogholder Allé 31A,2720 Vanløse,92,3
4073, 3.998.000, Ringkøbingvej 26,8000 Aarhus C,100,3
4074, 4.745.000, Søllerødgade 22,2200 København N,72,3
4075, 4.950.000, Blytækkervej 6,2400 København NV,107,4
4076, 4.950.000, Nordre Jernbanevej 23,3400 Hillerød,133,5
4077, 5.250.000, Nordre Jernbanevej 23,3400 Hillerød,156,5
4078, 5.745.000, Forhåbningsholms Alle 15,1904 Frederiksberg C,88,3
4079, 5.795.000, Solitudevej 4,2200 København N,82,4
4080, 5.877.000, Ørbækgårds Alle 503,2970 Hørsholm,127,4
4081, 6.495.000, Papirfabrikken 52,8600 Silkeborg,127,3
4082, 6.645.000, Borups Alle 116,2000 Frederiksberg,130,5
4083, 6.695.000, Usserød Kongevej 41,2970 Hørsholm,130,4
4084, 6.895.000, Usserød Kongevej 41,2970 Hørsholm,130,4
4085, 6.995.000, Usserød Kongevej 41,2970 Hørsholm,140,4
4086, 6.999.999, Ved Amagerbanen 31D 4 2 ,2300 København S,113,3
4087, 7.395.000, Usserød Kongevej 41,2970 Hørsholm,140,4
4088, 7.695.000, Usserød Kongevej 41,2970 Hørsholm,142,4
4089, 7.995.000, Ørestads Boulevard 55A 7 701 ,2300 København S,140,3
4090, 7.995.000, Uplandsgade 20,2300 København S,182,5
4091, 7.995.000, Schlegels Alle 3,1807 Frederiksberg C,110,3
4092, 10.995.000, Strandgade 44G,1401 København K,101,3
4093, 11.000.000, Irma Pedersens Gade 116,8000 Aarhus C,163,4
4094, 12.250.000, Madvigs Alle 9,1829 Frederiksberg C,181,6
4095, 950.000, Årestrupsvej 26,9000 Aalborg,54,2
4096, 995.000, Alsgade 26,6400 Sønderborg,88,3
4097, 1.045.000, Svendborgvej 175,4700 Næstved,69,3
4098, 1.095.000, Mejerivej 8K,4560 Vig,83,3
4099, 1.295.000, Asser Rigs Vej 31C,8960 Randers SØ,96,3
4100, 1.741.500, Thuresensgade 33C,5000 Odense C,66,2
4101, 1.795.000, Filstedvej 12,9000 Aalborg,126,5
4102, 1.798.000, Danmarksgade 77,9000 Aalborg,90,3
4103, 1.895.000, Aldershvilevej 106,2880 Bagsværd,47,1
4104, 1.995.000, Bregnerødvej 66,3460 Birkerød,68,3
4105, 2.095.000, Vigerslevvej 318,2500 Valby,59,3
4106, 2.250.000, Skt. Nicolaus Gade 3,8000 Aarhus C,51,2
4107, 2.485.000, Nordre Strandvej 339B 1 ,3100 Hornbæk,72,3
4108, 2.495.000, Engelsborgvej 28E,2800 Kongens Lyngby,64,3
4109, 2.595.000, Offenbachsvej 30 st tv ,2450 København SV,51,2
4110, 2.799.000, Jagtvej 141,2200 København N,68,2
4111, 2.895.000, Svanelundsvej 6B ,9800 Hjørring,135,4
4112, 2.999.000, Prinsessegade 17A,1422 København K,47,2
4113, 3.395.000, Kronprinsesse Sofies Vej 45,2000 Frederiksberg,73,3
4114, 3.395.000, Bifaldet 19,4000 Roskilde,94,3
4115, 3.495.000, Klosterparken 26,7900 Nykøbing M,117,3
4116, 3.498.000, Søvej 9A,8220 Brabrand,96,3
4117, 3.595.000, Sankt Pauls Gade 3,1313 København K,46,2
4118, 3.598.000, Irma Pedersens Gade 60,8000 Aarhus C,77,3
4119, 3.695.000, Duevej 46,2000 Frederiksberg,70,3
4120, 3.849.000, Åparken 6,8000 Aarhus C,107,4
4121, 3.995.000, Constantin Hansens Gade 21,1799 København V,52,2
4122, 4.250.000, Thorsgade 76,2200 København N,79,3
4123, 4.595.000, Edvard Thomsens Vej 59,2300 København S,122,4
4124, 4.845.000, Vigerslev Allé 23,2500 Valby,91,4
4125, 5.995.000, Forhåbningsholms Alle 17A,1904 Frederiksberg C,87,4
4126, 6.195.000, Jakob Dannefærds Vej 13,1973 Frederiksberg C,87,4
4127, 6.495.000, Erik Bøghs Alle 15A,2860 Søborg,119,4
4128, 450.000, Tåstrupvej 42 1 ,8370 Hadsten,69,2
4129, 779.000, Højtoftegade 14,8940 Randers SV,72,2
4130, 949.500, Ægirsvej 51,8920 Randers NV,90,4
4131, 1.195.000, Egestræde 11A,4660 Store Heddinge,118,3
4132, 1.198.000, Rebæk Søpark 3,2650 Hvidovre,46,1
4133, 1.348.000, Skoleparken 21,6705 Esbjerg Ø,82,3
4134, 1.385.000, Topperne 7,2620 Albertslund,49,2
4135, 1.398.000, Perikumvej 5,9000 Aalborg,69,2
4136, 1.495.000, Bertel Holts Vej 2A st tv ,9400 Nørresundby,85,2
4137, 1.495.000, Islandsgade 11,9000 Aalborg,61,2
4138, 1.498.000, Nygårdsvej 133,6700 Esbjerg,85,3
4139, 1.498.000, Lykkesvej 12 ,6800 Varde,129,4
