,Pris,address,zipcode,m2,rooms
145, 3.995.000, Gl. Stationsvej 65 Dør/lejl. 113 ,8940 Randers SV,145,3
146, 3.995.000, Bonkesvej 3A,2650 Hvidovre,107,4
147, 3.995.000, Gl. Stationsvej 57 Dør/lejl. 109 ,8940 Randers SV,124,4
148, 3.995.000, Gl. Stationsvej 55 Dør/lejl. 108 ,8940 Randers SV,118,3
149, 3.995.000, Gl. Stationsvej 59 Dør/lejl. 110 ,8940 Randers SV,118,4
150, 4.395.000, Gl. Stationsvej 37 Dør/lejl. 114 ,8940 Randers SV,133,3
151, 4.495.000, Edvard Thomsens Vej 69,2300 København S,108,3
152, 4.595.000, Borups Allé 219,2400 København NV,122,5
153, 4.600.000, Skovvejen 44E,8000 Aarhus C,87,4
154, 4.795.000, Kong Georgs Vej 53,2000 Frederiksberg,83,3
155, 4.895.000, Gl. Stationsvej 43 Dør/lejl. 104 ,8940 Randers SV,161,4
156, 4.895.000, Gl. Stationsvej 45 Dør/lejl. 103 ,8940 Randers SV,161,4
157, 4.995.000, Nordre Fasanvej 164,2000 Frederiksberg,92,4
158, 4.998.000, Helga Pedersens Gade 9,8000 Aarhus C,113,4
159, 5.995.000, Gernersgade 11,1319 København K,78,3
160, 6.495.000, Amager Boulevard 110,2300 København S,122,4
161, 6.595.000, Gyldenløvesgade 21,1600 København V,123,4
162, 6.995.000, Jagtvej 191,2100 København Ø,126,4
163, 7.498.000, Teglholmens Østkaj 32,2450 København SV,111,3
164, 7.795.000, Strandgade 14,1401 København K,104,3
165, 8.495.000, Vodroffsvej 26 st th ,1900 Frederiksberg C,122,4
166, 8.498.000, Willemoesgade 63,2100 København Ø,126,4
167, 13.200.000, Helga Pedersens Gade 950,8000 Aarhus C,212,3
168, 14.500.000, Klerkegade 2A,1308 København K,151,4
169, 475.000, Skelvangsvej 105,8920 Randers NV,67,2
170, 495.000, Lyksborgvej 38,7500 Holstebro,43,2
171, 595.000, Parkvej 10 4 th ,4700 Næstved,96,3
172, 695.000, Æbleparken 170,5270 Odense N,59,2
173, 750.000, Platanvej 36,8930 Randers NØ,81,2
174, 870.000, Fasanvej 34,8800 Viborg,93,4
175, 895.000, Søndermarken 26,3060 Espergærde,35,1
176, 895.000, Nørrevold 11B,6800 Varde,60,2
177, 995.000, Havnevej 24,4000 Roskilde,26,1
178, 995.000, Lathyrusvej 4,8930 Randers NØ,80,3
179, 995.000, Udsigten 15,6000 Kolding,70,2
180, 1.145.000, Jernbanegade 29,7000 Fredericia,88,3
181, 1.150.000, Snerlevej 11,9000 Aalborg,76,2
182, 1.248.000, Marbækvej 10,6700 Esbjerg,68,2
183, 1.248.000, Vesterhavsgade 67,6700 Esbjerg,75,2
184, 1.395.000, Torvegade 16C 2 tv ,4640 Faxe,110,4
185, 1.495.000, Malurtvej 23,9000 Aalborg,74,3
186, 1.498.000, Tøndebindervej 4,2400 København NV,37,1
187, 1.499.000, Møllegade 10,8700 Horsens,116,4
188, 1.545.000, Vesterbro 57 4 th ,9000 Aalborg,66,2
189, 1.575.000, Engblommevej 39,2400 København NV,35,1
190, 1.595.000, Præstekærvej 20,2700 Brønshøj,41,1
191, 1.645.000, Snerlevej 54,3000 Helsingør,70,2
192, 1.675.000, Mågevej 46,2400 København NV,54,2
193, 1.695.000, Karensmindevej 1 st th ,4300 Holbæk,66,2
194, 1.695.000, Kantorparken 22,8240 Risskov,68,2
195, 1.725.000, Jyllandsgade 11,8800 Viborg,93,3
196, 1.745.000, Edelhoffvej 2A,8462 Harlev J,76,3
197, 1.795.000, Smøgen 1,6950 Ringkøbing,123,3
198, 1.895.000, Østervej 25,2600 Glostrup,66,2
199, 1.980.000, Skejbygårdsvej 56,8240 Risskov,64,2
200, 1.995.000, Schleppegrellsgade 78 2 tv ,9000 Aalborg,71,3
201, 1.995.000, Frederiksdalsvej 105B,2830 Virum,52,2
202, 1.995.000, Birkerød Parkvej 44,3460 Birkerød,75,3
203, 2.095.000, Gladsaxevej 69,2860 Søborg,55,2
204, 2.125.000, Roskildevænget 31,4000 Roskilde,76,3
205, 2.195.000, Krudttårnsbakken 5,3300 Frederiksværk,99,3
206, 2.350.000, Lehwaldsvej 3,2800 Kongens Lyngby,68,2
207, 2.395.000, Kastrupkrogen 17,2770 Kastrup,54,2
208, 2.495.000, Tyrolsgade 12,2300 København S,45,2
209, 2.495.000, Hollandsvej 9,2800 Kongens Lyngby,56,2
210, 2.495.000, Johan Kellers Vej 59,2450 København SV,59,2
211, 2.650.000, Holsedore 18,5000 Odense C,78,2
212, 2.695.000, Rådmandsgade 40B,2200 København N,56,2
213, 2.795.000, Eriksgade 5,1708 København V,41,2
214, 2.795.000, Frederiksborgvej 17,2400 København NV,71,2
215, 2.798.000, Mejlbyvej 687,8530 Hjortshøj,238,7
216, 2.850.000, Randersgade 17,2100 København Ø,53,2
217, 2.875.000, Grønnegården 623A ,2670 Greve,81,4
218, 2.895.000, Jens Benzons Gade 34,5000 Odense C,102,3
219, 2.995.000, Vermlandsgade 76 2 th ,2300 København S,61,2
220, 2.995.000, Nørregade 26,5000 Odense C,125,5
221, 2.995.000, Kildebakkegårds Alle 108,2860 Søborg,58,5
222, 2.995.000, Rumæniensgade 4,2300 København S,65,2
223, 3.195.000, Jensløvs Tværvej 10,2920 Charlottenlund,89,4
224, 3.195.000, Marstalsgade 20,2100 København Ø,55,2
225, 3.495.000, Carl Langes Vej 48,2500 Valby,80,3
226, 3.495.000, Heimdalsgade 34,2200 København N,71,3
227, 3.695.000, Roret 143 ,3070 Snekkersten,112,3
228, 3.750.000, Falstersgade 46,8000 Aarhus C,83,3
