,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
64,2698000, Marselis Boulevard 71,8000 Aarhus C,65,3,10.19352369,56.1395742,464.85,1934.71,480.91,996.32,7356.02,Midtjylland
65,2795000, Marbækvej 8,2750 Ballerup,77,2,12.37495473,55.71959296,923.03,10429.41,1265.51,1068.95,6368.95,Hovedstaden
66,2795000, Gasværksvej 6,2970 Hørsholm,82,3,12.49976855,55.88098731,39.66,2232.93,693.69,500.16,16400.13,Hovedstaden
67,2890000, Hamletsgade 4,2200 København N,60,2,12.54749793,55.70296543,268.85,3153.13,658.56,139.62,1376.85,Hovedstaden
68,2895000, Nytorv 13B 1 tv ,9000 Aalborg,93,3,9.92416324,57.0482481,141.67,1006.17,1080.94,307.43,859.44,Nordjylland
69,2995000, Cikoriegade 15,2640 Hedehusene,88,3,12.20771603,55.64302512,530.49,1258.16,572.95,403.98,8991.21,Hovedstaden
70,3250000, Sankt Kjelds Gade 27,2100 København Ø,58,2,12.56606563,55.70985537,235.55,3070.07,229.75,286.35,2111.43,Hovedstaden
71,3350000, Pileborggade 26,4100 Ringsted,170,7,11.7947266,55.44452535,258.95,1149.45,226.1,676.77,1380.7,Hovedstaden
72,3495000, Hørkær 21B,2730 Herlev,90,4,12.43736729,55.71756869,498.95,7704.83,1254.78,356.0,2287.17,Hovedstaden
73,3495000, Rigensgade 6,1316 København K,48,2,12.5823346,55.68674906,77.06,1024.88,160.09,199.22,1701.45,Hovedstaden
74,3495000, Magstræde 4,1204 København K,52,1,12.57585817,55.67660759,282.55,997.66,581.55,397.71,3238.1,Hovedstaden
75,3595000, Søllerød Park 15,2840 Holte,79,2,12.50742847,55.80765619,407.19,1484.0,516.25,484.26,11830.89,Hovedstaden
76,4745000, Jagtvej 187,2100 København Ø,85,3,12.568214,55.70759972,343.2,2883.11,154.1,499.64,1854.78,Hovedstaden
77,4895000, Selmersvej 1B,2970 Hørsholm,90,2,12.50344269,55.87963064,451.78,2041.17,277.93,475.19,16281.66,Hovedstaden
78,4995000, Frederiksberg Alle 41,1820 Frederiksberg C,61,2,12.54084977,55.6736846,316.83,1818.83,551.43,310.79,2494.6,Hovedstaden
79,4999000, Gormsgade 11,2200 København N,94,4,12.54651538,55.6975555,170.69,2504.09,354.21,226.24,1737.73,Hovedstaden
80,5195000, Pennehave 7 2 ,2960 Rungsted Kyst,127,4,12.52347807,55.88296244,535.24,659.38,711.17,400.21,17565.88,Hovedstaden
81,5995000, Gothersgade 155,1123 København K,118,4,12.56869581,55.68572261,169.87,536.12,304.16,172.85,1667.36,Hovedstaden
82,6895000, Weidekampsgade 41,2300 København S,108,4,12.58220059,55.66679041,201.5,1812.17,654.51,252.98,3725.51,Hovedstaden
83,7195000, Sortedam Dossering 19,2200 København N,111,3,12.56437574,55.68890275,333.52,1134.6,304.87,265.81,1181.96,Hovedstaden
84,7250000, Løngangstræde 21A 3 th ,1468 København K,121,4,12.57384641,55.67567759,120.62,1032.68,522.12,260.47,3100.97,Hovedstaden
85,9900000, Strandvejen 417C,2930 Klampenborg,108,4,12.59004025,55.77556919,1385.39,1149.61,1487.9,2295.23,7382.98,Hovedstaden
86,265000, Nørmarkvej 29 1 12 ,7600 Struer,57,2,8.5958323,56.48271089,464.56,1594.73,1169.06,497.99,15116.95,Midtjylland
87,495000, Nyvangsvej 18,8900 Randers C,50,2,10.02736486,56.4666364,234.05,1197.57,358.13,404.26,2083.77,Midtjylland
88,525000, Dalgas Alle 109,7800 Skive,47,1,9.021491,56.54682621,892.49,2126.17,892.49,1217.77,3977.31,Nordjylland
