,new_index,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
59,59, 2.445.000, Lehwaldsvej 3,2800 Kongens Lyngby,68,2,12.50084588,55.7682928,218.45,918.28,301.46,268.74,5235.99,Hovedstaden
60,60, 2.495.000, Kastrupkrogen 17,2770 Kastrup,54,2,12.64369502,55.63690397,192.5,1794.3,547.14,219.97,3103.99,Hovedstaden
61,61, 2.498.000, Tyrolsgade 12,2300 København S,45,2,12.60914969,55.65943455,170.17,3625.44,608.66,152.68,1384.81,Hovedstaden
62,62, 2.545.000, Hollandsvej 9,2800 Kongens Lyngby,56,2,12.50615622,55.76485713,440.01,1157.53,798.01,542.75,4584.04,Hovedstaden
63,63, 2.595.000, Johan Kellers Vej 59,2450 København SV,59,2,12.53590983,55.65450922,396.13,1859.04,465.41,553.37,4593.61,Hovedstaden
64,64, 2.598.000, Østerbæksvej 18,5230 Odense M,81,3,10.39837568,55.38358874,188.6,2225.43,441.37,396.58,2748.78,Syddanmark
65,65, 2.695.000, Taastrup Hovedgade 111A,2630 Taastrup,68,3,12.29987109,55.64781286,453.05,2431.81,459.6,471.67,7558.1,Hovedstaden
66,66, 2.695.000, Skaffervej 11 st th ,2400 København NV,56,2,12.53325459,55.70594391,152.14,3815.82,420.53,265.72,1199.25,Hovedstaden
67,67, 2.695.000, Elmelyparken 7B,2680 Solrød Strand,99,3,12.21148247,55.53420278,719.69,7171.4,867.28,381.17,11824.31,Hovedstaden
68,68, 2.698.000, Holsedore 18,5000 Odense C,78,2,10.38540952,55.39372974,493.74,1092.14,559.01,275.46,2049.17,Syddanmark
69,69, 2.795.000, Rådmandsgade 40B,2200 København N,56,2,12.55172668,55.7000336,67.14,2801.14,197.67,183.91,1316.09,Hovedstaden
70,70, 2.795.000, A.Andersens Vej 1A ,8600 Silkeborg,180,5,9.58103455,56.19021868,275.57,4528.07,1338.14,279.14,3550.9,Midtjylland
71,71, 2.795.000, Dybbølsgade 11,1721 København V,61,2,12.55716219,55.66538624,351.23,1248.68,354.11,380.45,4251.25,Hovedstaden
72,72, 2.795.000, Eriksgade 5,1708 København V,41,2,12.55774534,55.66964157,204.46,728.97,110.86,145.34,3502.74,Hovedstaden
73,73, 2.850.000, Frederiksborgvej 17,2400 København NV,71,2,12.53291706,55.70304124,431.86,3632.49,434.32,182.51,1600.91,Hovedstaden
74,74, 2.890.000, Englandsvej 14,2300 København S,58,3,12.60558363,55.6573594,300.54,3355.08,605.7,162.65,1331.14,Hovedstaden
75,75, 2.895.000, Ålandsgade 3,2300 København S,49,2,12.60469743,55.66440392,132.81,3113.31,142.34,316.82,1680.05,Hovedstaden
76,76, 2.895.000, Mejlbyvej 687,8530 Hjortshøj,238,7,10.21220528,56.30156512,2034.03,11295.46,1565.37,58.66,23450.25,Midtjylland
77,77, 2.995.000, Randersgade 17,2100 København Ø,53,2,12.58117575,55.70319106,135.76,1760.61,69.49,317.44,1513.85,Hovedstaden
78,78, 2.995.000, Himmerlandsvej 31,2720 Vanløse,70,4,12.50892363,55.69372892,184.93,4403.57,519.32,174.41,1576.17,Hovedstaden
79,79, 3.195.000, Grønnegården 623A ,2670 Greve,81,4,12.3409481,55.5981809,332.42,10363.26,1210.62,1199.91,10701.67,Hovedstaden
80,80, 3.250.000, Jens Benzons Gade 34,5000 Odense C,102,3,10.37404239,55.39539734,348.6,1280.53,301.66,364.86,1578.34,Syddanmark
81,81, 3.295.000, Nordborggade 38,8000 Aarhus C,77,3,10.18485009,56.14626649,413.63,1789.98,408.0,567.38,6671.48,Midtjylland
82,82, 3.298.000, Nørregade 26,5000 Odense C,125,5,10.38830243,55.3981851,344.23,575.53,215.71,226.16,2631.04,Syddanmark
83,83, 3.350.000, Kildebakkegårds Alle 108,2860 Søborg,58,5,12.50803132,55.74210177,392.7,3575.46,337.24,385.82,2702.29,Hovedstaden
84,84, 3.395.000, Rumæniensgade 4,2300 København S,65,2,12.61385811,55.65991681,315.55,3939.43,656.35,344.27,1287.1,Hovedstaden
85,85, 3.450.000, Stengade 26C,3000 Helsingør,147,4,12.61036032,56.03325555,59.81,772.43,805.2,191.51,480.55,Hovedstaden
86,86, 3.450.000, Gl Stationsvej 45 ,8940 Randers SV,123,3,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
87,87, 3.495.000, Søllerød Park 4,2840 Holte,88,3,12.50592181,55.80929778,402.21,1769.42,511.28,269.88,11742.81,Hovedstaden
88,88, 3.495.000, Jensløvs Tværvej 10,2920 Charlottenlund,89,2,12.57003799,55.75314786,277.93,3285.01,812.36,276.62,3586.31,Hovedstaden
89,89, 3.495.000, Marstalsgade 20,2100 København Ø,55,2,12.58686333,55.70367903,261.67,1590.92,236.71,210.28,1979.69,Hovedstaden
90,90, 3.495.000, Nordre Frihavnsgade 100A,2100 København Ø,57,2,12.58980805,55.70349964,351.34,1615.89,259.18,339.65,2077.06,Hovedstaden
91,91, 3.595.000, Østerdalsgade 5,2300 København S,74,3,12.60255002,55.65514486,166.38,3020.31,410.14,319.52,1999.47,Hovedstaden
92,92, 3.850.000, Sølystgade 53,8000 Aarhus C,74,3,10.20417089,56.16175488,230.13,1861.14,175.95,342.16,4936.25,Midtjylland
93,93, 3.995.000, Ægirsgade 18,2200 København N,70,3,12.54586385,55.69878281,131.08,2659.95,397.38,364.68,2122.86,Hovedstaden
94,94, 3.995.000, Godsbanegade 7,1722 København V,55,2,12.55438402,55.66660283,102.61,1590.95,367.09,310.12,4002.62,Hovedstaden
95,95, 4.495.000, Åhusene 9,8000 Aarhus C,69,3,10.18724929,56.15282081,485.63,1946.59,1418.22,209.44,6004.01,Midtjylland
96,96, 4.595.000, Harald Jensens Plads 17,8000 Aarhus C,93,3,10.18864701,56.14298178,561.42,1492.4,552.62,357.5,6750.91,Midtjylland
97,97, 4.600.000, Carl Langes Vej 48,2500 Valby,80,3,12.50091883,55.66367238,429.8,1522.05,709.68,489.63,3531.85,Hovedstaden
98,98, 4.745.000, Heimdalsgade 34,2200 København N,71,3,12.54508039,55.70244817,94.35,3176.73,634.56,143.22,1424.45,Hovedstaden
99,99, 4.795.000, Gl Stationsvej 45 ,8940 Randers SV,118,4,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
100,100, 4.895.000, Uffesgade 10,2200 København N,55,2,12.54841555,55.69541564,134.87,2184.75,387.84,148.16,1584.49,Hovedstaden
101,101, 4.995.000, Roret 143 ,3070 Snekkersten,112,3,12.57178514,56.01262491,688.36,1518.89,993.53,1130.67,3881.74,Hovedstaden
102,102, 4.995.000, Bernstorffsvej 69B,2900 Hellerup,88,3,12.55555607,55.73571705,134.51,1074.97,643.92,1021.7,911.47,Hovedstaden
103,103, 4.998.000, Vibevej 47,2400 København NV,78,3,12.530288,55.69895184,133.57,3587.61,118.16,505.94,2058.64,Hovedstaden
104,104, 4.999.000, Studsgaardsgade 14,2100 København Ø,66,3,12.55756428,55.70927092,307.43,3721.08,521.92,164.17,1786.03,Hovedstaden
105,105, 5.195.000, Kirkebjerg Parkvej 2B,2600 Glostrup,106,4,12.39408408,55.66108372,836.12,1814.87,891.39,701.61,2153.72,Hovedstaden
106,106, 5.995.000, Esthersvej 45,2900 Hellerup,88,3,12.56553792,55.73243346,316.7,975.97,548.56,258.04,1607.37,Hovedstaden
107,107, 5.995.000, Christiansgade 29 3 th ,8000 Aarhus C,104,4,10.20316598,56.15549281,761.35,1195.84,638.14,319.7,5701.16,Midtjylland
108,108, 6.495.000, Skt Pauls Gade 12,8000 Aarhus C,75,3,10.20542531,56.14666503,350.29,685.34,609.43,170.47,6604.35,Midtjylland
109,109, 6.595.000, Gl Stationsvej 45 ,8940 Randers SV,145,3,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
110,110, 6.895.000, Bonkesvej 3A,2650 Hvidovre,107,4,12.47301852,55.65937342,644.39,4169.0,509.14,445.8,1846.7,Hovedstaden
111,111, 6.995.000, Gl Stationsvej 45 ,8940 Randers SV,124,4,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
112,112, 7.195.000, Gl Stationsvej 45 ,8940 Randers SV,118,3,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
113,113, 7.250.000, Gl Stationsvej 45 ,8940 Randers SV,118,4,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
114,114, 7.795.000, Skernvej 12,8000 Aarhus C,95,3,10.18925896,56.15778392,281.09,1662.97,1133.78,699.37,5062.88,Midtjylland
115,115, 7.995.000, Hollændervej 4B,1855 Frederiksberg C,97,4,12.53761323,55.67613487,133.35,2220.23,52.7,339.79,2055.4,Hovedstaden
116,116, 8.498.000, Johan Wilmanns Vej 4,2800 Kongens Lyngby,82,3,12.50208911,55.76498698,208.92,1175.76,661.54,526.22,4774.17,Hovedstaden
117,117, 9.900.000, Gl Stationsvej 45 ,8940 Randers SV,133,3,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
118,118, 265.000, Edvard Thomsens Vej 69,2300 København S,108,3,12.57810851,55.63263825,169.85,584.08,361.5,228.55,4628.77,Hovedstaden
119,119, 950.000, Skovvejen 44E,8000 Aarhus C,87,4,10.21935945,56.16788232,758.01,2449.56,1079.81,493.21,5442.97,Midtjylland
120,120, 998.000, Plantagevej 86,2610 Rødovre,107,4,12.43787745,55.67804893,710.97,4146.32,1457.61,1218.45,4834.86,Hovedstaden
121,121, 1.250.000, Kong Georgs Vej 53,2000 Frederiksberg,83,3,12.53270783,55.68850394,166.66,3202.11,701.76,389.62,1080.94,Hovedstaden
122,122, 1.595.000, Øresundsvej 144A,2300 København S,80,2,12.62801251,55.66047641,285.39,4940.55,740.06,535.84,1277.57,Hovedstaden
123,123, 1.700.000, Gl Stationsvej 45 ,8940 Randers SV,161,4,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
124,124, 2.500.000, Gl Stationsvej 45 ,8940 Randers SV,161,4,10.04050732,56.45327948,1054.71,1732.73,1527.1,452.22,2520.45,Midtjylland
125,125, 2.695.000, Nordre Fasanvej 164,2000 Frederiksberg,92,4,12.53381052,55.6942885,481.82,3317.41,645.36,166.22,1446.53,Hovedstaden
126,126, 3.150.000, Helga Pedersens Gade 9,8000 Aarhus C,113,4,10.23014864,56.16654773,1387.26,2819.72,1755.61,1227.86,6484.53,Midtjylland
127,127, 3.395.000, Julius Posselts Vej 3A,9400 Nørresundby,128,4,9.89978971,57.06557038,699.3,442.29,807.49,802.24,3131.69,Nordjylland
128,128, 3.995.000, Høje Skodsborgvej 26,2942 Skodsborg,79,3,12.57351439,55.82882974,2870.95,869.36,3163.83,2601.66,14741.08,Hovedstaden
129,129, 7.498.000, Brogårdsvej 25,2820 Gentofte,171,6,12.53817399,55.75353232,401.1,1804.4,519.76,897.36,2566.33,Hovedstaden
130,130, 8.495.000, Gernersgade 11,1319 København K,78,3,12.58900703,55.68760376,348.95,1064.24,528.95,228.86,2493.28,Hovedstaden
131,131, 14.500.000, Platanvej 7,1810 Frederiksberg C,92,3,12.5404214,55.67287382,276.63,1998.32,518.91,349.38,3213.49,Hovedstaden
132,132, 475.000, Bryggernes Plads 20,1799 København V,91,3,12.53182772,55.66633791,333.9,1526.26,715.43,389.82,3887.81,Hovedstaden
133,133, 495.000, Amager Boulevard 110,2300 København S,122,4,12.59378819,55.66651293,348.97,2455.47,595.57,426.61,2780.21,Hovedstaden
134,134, 595.000, Richard Boones Vej 6,2450 København SV,103,3,12.54716894,55.64774105,270.59,2955.1,740.85,359.26,6676.56,Hovedstaden
135,135, 695.000, Gyldenløvesgade 21,1600 København V,123,4,12.56097076,55.68053144,436.8,1245.99,879.33,448.2,2758.92,Hovedstaden
136,136, 750.000, Beddingen 7B,9000 Aalborg,200,4,9.94405905,57.04795036,1102.7,2487.56,1555.09,462.48,2706.79,Nordjylland
137,137, 895.000, Jagtvej 191,2100 København Ø,126,4,12.56907734,55.70776055,370.73,2780.94,210.73,442.08,1911.31,Hovedstaden
138,138, 895.000, Adelgade 1,1304 København K,116,3,12.58221513,55.6825014,20.01,809.88,579.21,91.23,2272.85,Hovedstaden
139,139, 895.000, Markskellet 10,2720 Vanløse,220,6,12.49229167,55.69431655,363.99,5030.4,708.62,176.89,2777.0,Hovedstaden
140,140, 995.000, Teglholmens Østkaj 32,2450 København SV,111,3,12.55393972,55.6480783,355.27,3167.15,463.1,287.66,6416.02,Hovedstaden
141,141, 995.000, Lille Strandvej 2A,2900 Hellerup,117,4,12.57579217,55.73440064,287.88,1063.31,538.1,233.17,2596.61,Hovedstaden
142,142, 995.000, Strandgade 14,1401 København K,104,3,12.58901564,55.67337751,338.79,1830.91,459.16,291.81,3283.3,Hovedstaden
143,143, 1.145.000, Holsedore 18C,5000 Odense C,223,5,10.38546204,55.39341518,522.41,1461.71,587.58,304.03,1833.42,Syddanmark
144,144, 1.150.000, Vodroffsvej 26 st th ,1900 Frederiksberg C,122,4,12.55494899,55.67792188,258.67,1151.1,282.6,483.61,2605.37,Hovedstaden
145,145, 1.248.000, Willemoesgade 63,2100 København Ø,126,4,12.58622209,55.69868269,190.63,981.66,197.02,218.83,1713.7,Hovedstaden
146,146, 1.248.000, Klerkegade 2A,1308 København K,151,4,12.58704609,55.68614745,208.15,1482.78,394.48,97.75,2204.08,Hovedstaden
147,147, 1.395.000, Trangravsvej 57,1436 København K,132,4,12.5972604,55.679223,619.98,2342.99,824.78,380.28,3831.83,Hovedstaden
148,148, 1.495.000, Norgesmindevej 31,2900 Hellerup,209,0,12.57013273,55.72550719,43.9,694.45,880.69,568.1,2538.05,Hovedstaden
149,149, 1.498.000, Parkvej 10 4 th ,4700 Næstved,96,3,11.75390373,55.21781924,526.14,2530.52,742.9,339.3,3136.23,Hovedstaden
150,150, 1.499.000, Fasanvej 34,8800 Viborg,93,4,9.38589721,56.44855015,512.54,1126.52,961.74,927.46,1597.41,Midtjylland
151,151, 1.545.000, Torvegade 16C 2 tv ,4640 Faxe,110,4,12.12027006,55.25771394,301.1,2222.78,1190.87,64.21,25035.53,Hovedstaden
152,152, 1.575.000, Vesterbro 57 4 th ,9000 Aalborg,66,2,9.91420778,57.04700115,578.63,561.55,743.43,357.33,653.54,Nordjylland
153,153, 1.595.000, Præstekærvej 20,2700 Brønshøj,41,1,12.49282199,55.70598471,84.91,6472.88,349.13,125.42,3553.08,Hovedstaden
154,154, 1.645.000, Karensmindevej 1 st th ,4300 Holbæk,66,2,11.71740936,55.71263754,130.17,816.84,908.48,293.52,296.2,Hovedstaden
155,155, 1.675.000, Schleppegrellsgade 78 2 tv ,9000 Aalborg,71,3,9.90252625,57.05513801,801.55,712.96,822.2,334.14,1260.09,Nordjylland
156,156, 1.695.000, Krudttårnsbakken 5,3300 Frederiksværk,99,3,12.02681984,55.96826524,736.32,1102.16,1171.69,875.43,15114.32,Hovedstaden
157,157, 1.695.000, Vermlandsgade 76 2 th ,2300 København S,61,2,12.61142951,55.6666676,348.21,3525.35,302.08,390.39,1760.72,Hovedstaden
158,158, 1.725.000, Falstersgade 46,8000 Aarhus C,83,3,10.19940721,56.16432611,84.88,2114.44,384.74,400.05,4407.94,Midtjylland
159,159, 1.745.000, Niels Hemmingsens Gade 23,1153 København K,99,2,12.57575419,55.68033008,135.77,534.78,538.64,275.43,2669.22,Hovedstaden
160,160, 1.795.000, Livjægergade 21 1 tv ,2100 København Ø,226,6,12.5872678,55.69748434,236.18,958.9,315.16,210.98,2013.97,Hovedstaden
161,161, 1.895.000, Grønningen 29R ,9800 Hjørring,46,2,10.0078319,57.45027071,695.26,1046.47,1108.43,1021.21,1317.16,Nordjylland
162,162, 1.980.000, Frederikssundsvej 346,2700 Brønshøj,35,1,12.46989281,55.7129811,532.94,7022.25,586.89,112.97,3391.83,Hovedstaden
163,163, 1.995.000, Floravænget 24,5250 Odense SV,82,3,10.35671027,55.36415332,527.27,1851.55,1125.47,650.28,3290.8,Syddanmark
164,164, 1.995.000, Dr. Holsts Vej 48,8230 Åbyhøj,47,2,10.14479629,56.1598391,66.88,4790.43,1111.04,1040.99,5398.34,Midtjylland
165,165, 1.995.000, Grønnegade 14,9000 Aalborg,53,2,9.95094552,57.04363088,569.75,2376.37,1048.74,459.96,3003.54,Nordjylland
166,166, 2.095.000, Norgesgade 16,9000 Aalborg,55,2,9.94569743,57.04304758,466.28,1942.41,1021.46,370.83,2728.37,Nordjylland
167,167, 2.125.000, Fredskovhellet 2H,3400 Hillerød,60,1,12.33627431,55.93301287,314.86,2366.6,1442.15,1159.01,1054.2,Hovedstaden
168,168, 2.195.000, Rugmarken 39,3520 Farum,39,1,12.36320687,55.81860017,806.06,12910.64,1076.86,1257.84,13354.85,Hovedstaden
169,169, 2.350.000, Agerskovvej 4A,2610 Rødovre,52,1,12.46253784,55.6712822,534.27,3673.33,488.11,351.45,4347.15,Hovedstaden
170,170, 2.395.000, Engvej 8 1 ,9400 Nørresundby,96,3,9.9274624,57.05731236,346.82,1668.55,585.6,432.78,1548.18,Nordjylland
171,171, 2.495.000, Østre Alle 38,9000 Aalborg,56,2,9.94605122,57.04236411,469.86,1982.89,1061.94,374.41,2835.55,Nordjylland
172,172, 2.495.000, Blomstermarken 109,9000 Aalborg,83,3,9.90086654,57.02628743,117.6,2856.64,1299.32,261.43,1861.47,Nordjylland
173,173, 2.495.000, Munkevænget 18,4180 Sorø,79,2,11.55500371,55.43271858,826.82,2291.18,378.69,1500.25,15114.21,Sjælland
174,174, 2.650.000, Bådehavnsgade 43 ,2450 København SV,50,1,12.54082238,55.6412639,1373.66,2611.42,1361.3,1272.53,6461.89,Hovedstaden
175,175, 2.695.000, Østergade 29C,4700 Næstved,100,4,11.76353623,55.22736415,698.73,937.03,351.76,193.75,1600.24,Hovedstaden
176,176, 2.795.000, Rundhøj Allé 114,8270 Højbjerg,87,3,10.17324158,56.11845492,183.13,1572.53,385.09,559.0,10805.86,Midtjylland
177,177, 2.795.000, Ryetvej 19,3500 Værløse,63,2,12.36707957,55.78700734,224.64,11001.03,233.35,641.09,10052.75,Hovedstaden
178,178, 2.798.000, Dronningensgade 51,5000 Odense C,62,3,10.37433817,55.39636764,333.21,1140.84,443.67,431.87,2133.38,Syddanmark
179,179, 2.850.000, Agerskovvej 4K,2610 Rødovre,70,2,12.46238431,55.67092769,453.16,3794.07,407.0,432.24,4319.16,Hovedstaden
180,180, 2.875.000, Kochsgade 8,5000 Odense C,75,2,10.39225399,55.40273565,270.93,903.98,593.01,356.9,3668.53,Syddanmark
181,181, 2.895.000, Silkeborgvej 317,8230 Åbyhøj,61,2,10.15438707,56.15428228,518.66,3786.99,934.6,531.35,6116.29,Midtjylland
