new_index,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance
2933, 1.795.000kr. , Tranevej 10,2400 København NV,40,1,12.53109409,55.70139989,265.75,3535.4,215.53,192.42,1835.72
2934, 1.895.000kr. , Olfert Fischers Gade 3,8200 Aarhus N,49,2,10.21118774,56.17439176,267.47,3632.45,290.36,409.65,3841.57
2935, 1.945.000kr. , Zoffmannsvej 20,4600 Køge,57,2,12.18019937,55.46471312,623.32,1128.32,704.66,991.72,2759.8
2936, 1.948.000kr. , Skovvangsvej 5A st ,8200 Aarhus N,52,2,10.20189017,56.1767648,498.52,3861.02,509.53,200.05,3136.23
2937, 2.095.000kr. , St. Sct. Hans Gade 1A,8800 Viborg,93,2,9.40910069,56.45120926,960.7,1871.97,574.72,235.6,1399.98
2938, 2.095.000kr. , Gurrevej 5,3000 Helsingør,68,2,12.60210485,56.03645007,232.5,1203.31,977.08,752.03,1324.48
2939, 2.195.000kr. , Strandgade 39,3000 Helsingør,61,2,12.61108211,56.03306042,182.57,671.49,838.16,265.96,953.75
2940, 2.195.000kr. , Offenbachsvej 35,2450 København SV,55,2,12.52939531,55.64945743,416.96,1058.01,377.73,299.67,5357.37
2941, 2.245.000kr. , Birkevej 15,5230 Odense M,82,2,10.39200517,55.3832325,359.91,2161.14,767.09,514.9,2430.29
2942, 2.250.000kr. , Frederikssundsvej 414,2700 Brønshøj,73,3,12.46007254,55.71660269,464.17,7897.75,1278.0,869.78,2679.64
2943, 2.295.000kr. , Kastrupvej 60,2300 København S,62,2,12.6177575,55.65490791,129.1,3602.75,623.47,435.4,270.61
2944, 2.295.000kr. , Kalundborgvej 12D ,4300 Holbæk,61,2,11.7047192,55.71906856,646.63,640.64,1174.38,430.56,1404.5
2945, 2.295.000kr. , Højagerparken 36,2750 Ballerup,74,3,12.36157059,55.73555958,676.73,11379.93,1148.09,613.42,6559.56
2946, 2.350.000kr. , Frederikssundsvej 68E,2400 København NV,54,2,12.52756274,55.70464254,350.24,5163.09,326.53,337.17,1780.74
2947, 2.365.000kr. , Rugmarken 25,3060 Espergærde,96,3,12.53710165,55.99614028,577.75,933.7,334.93,620.6,7413.45
2948, 2.395.000kr. , Falen 25,5000 Odense C,75,3,10.37468671,55.39255621,96.32,1570.39,318.22,267.4,1556.43
2949, 2.449.000kr. , Marius Simonsens Vej 17,8200 Aarhus N,65,3,10.20469819,56.17596023,327.6,3700.1,348.71,413.23,3370.01
2950, 2.695.000kr. , Rosen 50 ,4300 Holbæk,77,3,11.71694516,55.71481436,546.2,796.87,1135.91,337.12,797.93
2951, 2.750.000kr. , Nordfeldvej 12,2700 Brønshøj,64,3,12.49428258,55.70462685,272.52,6050.89,86.74,263.93,3338.49
2952, 2.795.000kr. , Hessensgade 29,2300 København S,56,2,12.61623713,55.6646391,280.09,4015.96,274.56,597.27,1506.5
2953, 2.850.000kr. , Garnisonsvej 16 ,3520 Farum,91,3,12.33897135,55.8247547,453.61,11671.98,1726.2,412.08,15890.09
2954, 2.895.000kr. , Brannersvej 21,2920 Charlottenlund,55,2,12.57037034,55.75694915,501.8,2898.33,395.59,429.81,4032.66
2955, 3.295.000kr. , Peter Fabers Gade 28,2200 København N,49,2,12.55604382,55.69134256,126.75,1887.43,264.59,177.33,1293.49
2956, 3.495.000kr. , Døckerslundsvej 6B ,5000 Odense C,138,4,10.39799437,55.41342589,423.48,2010.06,356.78,826.25,5325.91
2957, 3.498.000kr. , Bagsværd Hovedgade 116A,2880 Bagsværd,113,4,12.45572517,55.76102121,766.65,4587.91,636.85,225.07,4837.74
